a,b,c
1,亜,亞　 
2,唖,啞　瘂　 
3,悪,惡　 
4,芦,蘆　 
5,鯵,鰺　 
6,圧,壓　 
7,庵,菴　葊　 
8,案,桉　 
9,囲,圍　 
10,為,爲　 
11,医,醫　 
12,育,毓　 
13,一,弌　 
14,壱,壹　 
15,稲,稻　 
16,因,囙　 
17,姻,婣　 
18,飲,飮　 
19,淫,婬　滛　 
20,隠,隱　 
21,陰,阴　隂　 
22,卯,夘　 
23,丑,丒　 
24,嘘,噓　 
25,欝,鬱　 
26,厩,廐　廏　廄　 
27,叡,睿　 
28,営,營　 
29,映,暎　 
30,曳,曵　 
31,栄,榮　 
32,穎,頴　 
33,英,偀　 
34,衛,衞　 
35,詠,咏　 
36,駅,驛　 
37,円,圓　圎　 
38,堰,椻　 
39,焔,焰　 
40,煙,烟　 
41,縁,緣　 
42,艶,艷　豔　豓　 
43,鉛,鈆　 
44,塩,鹽　 
45,汚,汙　 
46,奥,奧　 
47,往,徃　 
48,応,應　 
49,横,橫　 
50,欧,歐　 
51,殴,毆　 
52,鴬,鶯　鸎　 
53,鴎,鷗　 
54,黄,黃　 
55,岡,堽　崗　 
56,沖,冲　 
57,温,溫　 
58,穏,穩　 
59,下,丅　 
60,仮,假　 
61,価,價　 
62,花,芲　 
63,嘩,譁　 
64,蚊,蚉　螡　蟁　 
65,峨,峩　 
66,画,畫　畵　 
67,臥,卧　 
68,会,會　 
69,解,觧　 
70,回,囘　囬　 
71,壊,壞　 
72,廻,廽　迴　 
73,怪,恠　 
74,懐,懷　 
75,界,畍　 
76,絵,繪　 
77,蟹,蠏　 
78,開,开　 
79,階,堦　 
80,貝,蛽　 
81,崖,崕　 
82,概,槩　槪　 
83,碍,礙　 
84,蓋,盖　葢　 
85,柿,柹　 
86,蛎,蠣　 
87,鈎,鉤　 
88,拡,擴　 
89,撹,攪　 
90,殻,殼　壳　 
91,覚,覺　 
92,角,甪　 
93,赫,爀　焃　 
94,学,學　斈　斅　斆　 
95,岳,嶽　 
96,楽,樂　 
97,潟,澙　 
98,轄,鎋　 
99,兜,兠　 
100,竃,竈　灶　 
101,釜,釡　 
102,鎌,鐮　劆　 
103,柏,栢　 
104,萱,蘐　蕿　 
105,粥,鬻　 
106,乾,乹　亁　 
107,勧,勸　 
108,巻,卷　 
109,寛,寬　 
110,幹,榦　 
111,款,欵　歀　 
112,歓,歡　 
113,潅,灌　 
114,缶,罐　缻　 
115,観,觀　 
116,諌,諫　 
117,鑑,鑒　鍳　 
118,間,閒　 
119,関,關　閞　 
120,陥,陷　 
121,館,舘　 
122,巌,巖　嵓　 
123,雁,鴈　鳫　 
124,顔,顏　 
125,喜,憙　憘　囍　 
126,器,噐　 
127,奇,竒　 
128,既,旣　 
129,期,朞　 
130,棋,棊　 
131,棄,弃　 
132,帰,歸　皈　 
133,気,氣　 
134,規,槼　 
135,亀,龜　龟　 
136,偽,僞　 
137,宜,冝　 
138,戯,戲　戱　 
139,犠,犧　 
140,蟻,螘　 
141,掬,匊　 
142,却,卻　 
143,脚,腳　 
144,丘,坵　 
145,窮,竆　匑　穷　 
146,糾,糺　 
147,旧,舊　 
148,去,厺　 
149,拠,據　 
150,挙,擧　舉　 
151,虚,虛　虗　 
152,魚,鱼　 
153,京,亰　 
154,侠,俠　 
155,協,恊　旪　 
156,叫,呌　 
157,峡,峽　 
158,強,强　勥　犟　 
159,挟,挾　 
160,教,敎　 
161,橋,槗　桥　 
162,況,况　 
163,狭,狹　 
164,胸,胷　 
165,郷,鄕　 
166,暁,曉　 
167,欣,惞　俽　 
168,琴,琹　珡　 
169,筋,觔　竻　 
170,倶,俱　 
171,区,區　 
172,躯,軀　 
173,駆,驅　駈　敺　 
174,寓,庽　 
175,靴,鞾　 
176,窪,漥　 
177,桑,桒　枽　 
178,鍬,鍫　 
179,勲,勳　勛　 
180,薫,薰　 
181,群,羣　 
182,啓,諬　啟　唘　啔　 
183,径,徑　逕　 
184,恵,惠　憓　僡　 
185,憩,憇　 
186,携,攜　擕　 
187,渓,溪　谿　 
188,経,經　 
189,継,繼　 
190,繋,繫　 
191,茎,莖　 
192,荊,荆　 
193,蛍,螢　 
194,軽,輕　 
195,頚,頸　 
196,鶏,鷄　雞　 
197,芸,藝　秇　 
198,欠,缺　缼　 
199,決,决　 
200,倹,儉　 
201,剣,劍　劔　劒　剱　釼　劎　 
202,圏,圈　 
203,検,檢　撿　 
204,権,權　 
205,献,獻　 
206,県,縣　 
207,賢,臤　 
208,険,險　 
209,顕,顯　 
210,験,驗　騐　 
211,鹸,鹼　碱　醎　鹹　 
212,原,厡　 
213,厳,嚴　 
214,減,减　 
215,袴,絝　 
216,股,脵　 
217,虎,乕　 
218,鼓,皷　鼔　 
219,呉,吴　吳　 
220,娯,娛　 
221,悟,忢　 
222,侯,矦　 
223,光,灮　炗　 
224,効,效　 
225,巷,衖　 
226,広,廣　 
227,恒,恆　 
228,拘,抅　 
229,晃,晄　 
230,浩,澔　 
231,稿,稾　藳　稁　 
232,紘,綋　 
233,耕,畊　 
234,鉱,鑛　 
235,砿,礦　 
236,高,髙　 
237,劫,刧　刦　刼　 
238,号,號　 
239,轟,軣　 
240,国,國　圀　囶　囻　 
241,穀,糓　榖　 
242,黒,黑　 
243,昏,昬　 
244,嵯,嵳　 
245,鎖,鏁　鎻　 
246,歳,歲　嵗　 
247,済,濟　 
248,災,灾　烖　 
249,砕,碎　 
250,斎,齋　 
251,剤,劑　 
252,財,戝　 
253,冴,冱　沍　 
254,崎,嵜　﨑　 
255,埼,碕　 
256,柵,栅　 
257,策,敇　 
258,桜,櫻　 
259,冊,册　 
260,殺,煞　 
261,雑,雜　襍　 
262,皐,皋　臯　 
263,晒,曬　 
264,三,弎　 
265,傘,仐　伞　 
266,参,參　叄　叅　 
267,惨,慘　 
268,桟,棧　 
269,蚕,蠶　 
270,讃,讚　 
271,賛,贊　 
272,餐,湌　 
273,残,殘　 
274,四,亖　 
275,姉,姊　 
276,糸,絲　 
277,紙,帋　 
278,視,眎　眂　眡　 
279,歯,齒　 
280,事,亊　叓　 
281,児,兒　 
282,時,时　峕　 
283,爾,尓　尔　 
284,璽,壐　玺　 
285,辞,辭　 
286,湿,濕　溼　 
287,質,貭　 
288,実,實　 
289,篠,筱　 
290,蕊,蘂　蕋　蘃　 
291,舎,舍　 
292,写,冩　寫　 
293,煮,煑　 
294,蛇,虵　 
295,釈,釋　 
296,守,垨　 
297,呪,咒　 
298,寿,壽　 
299,収,收　 
300,秋,秌　穐　龝　 
301,繍,繡　 
302,臭,狊　 
303,衆,乑　眾　 
304,讐,讎　 
305,蹴,蹵　 
306,酬,酧　 
307,従,從　 
308,渋,澁　澀　 
309,獣,獸　 
310,縦,縱　 
311,粛,肅　 
312,淳,湻　 
313,準,凖　 
314,醇,醕　 
315,処,處　 
316,叙,敍　敘　 
317,嘗,甞　 
318,奨,奬　獎　 
319,将,將　 
320,廠,厰　 
321,昇,曻　 
322,松,枩　柗　梥　枀　 
323,渉,涉　 
324,焼,燒　 
325,照,瞾　 
326,称,稱　穪　 
327,蒋,蔣　 
328,証,證　 
329,醤,醬　 
330,上,丄　 
331,乗,乘　 
332,冗,宂　 
333,剰,剩　 
334,場,塲　 
335,壌,壤　 
336,嬢,孃　 
337,条,條　 
338,浄,淨　 
339,状,狀　 
340,畳,疊　疉　疂　叠　 
341,穣,穰　 
342,譲,讓　 
343,醸,釀　 
344,嘱,囑　 
345,飾,餝　餙　 
346,職,軄　 
347,触,觸　 
348,唇,脣　 
349,伸,訷　 
350,寝,寢　 
351,審,宷　 
352,慎,愼　 
353,晋,晉　 
354,真,眞　 
355,刃,刄　 
356,尽,盡　 
357,靭,靫　靱　韌　 
358,酢,醋　 
359,図,圖　啚　圗　 
360,厨,廚　橱　 
361,垂,埀　 
362,粋,粹　 
363,水,氺　 
364,翠,翆　 
365,酔,醉　 
366,随,隨　 
367,髄,膸　髓　 
368,数,數　 
369,枢,樞　 
370,雛,鶵　 
371,杉,椙　杦　 
372,澄,澂　 
373,世,丗　卋　 
374,瀬,瀨　 
375,畝,畆　畒　 
376,是,昰　 
377,凄,淒　 
378,勢,势　 
379,整,愸　 
380,晴,暒　 
381,棲,栖　捿　 
382,清,淸　 
383,声,聲　 
384,青,靑　 
385,静,靜　 
386,斉,齊　亝　斊　 
387,税,稅　 
388,脆,脃　 
389,摂,攝　 
390,説,說　 
391,窃,竊　 
392,絶,絕　 
393,蝉,蟬　 
394,専,專　 
395,戦,戰　 
396,浅,淺　 
397,潜,潛　濳　 
398,線,綫　 
399,繊,纖　纎　 
400,船,舩　 
401,賎,賤　 
402,践,踐　 
403,銭,錢　 
404,前,歬　 
405,善,譱　 
406,禅,禪　 
407,膳,饍　 
408,曽,曾　 
409,疎,踈　 
410,蘇,蘓　 
411,遡,溯　 
412,鼠,鼡　 
413,双,雙　 
414,壮,壯　 
415,匝,帀　 
416,捜,搜　 
417,挿,插　揷　 
418,掻,搔　 
419,曹,曺　 
420,巣,巢　 
421,争,爭　 
422,痩,瘦　膄　 
423,窓,窗　牕　牎　窻　 
424,総,總　緫　縂　 
425,聡,聰　聦　聪　 
426,荘,莊　庄　庒　 
427,葬,塟　 
428,装,裝　 
429,走,赱　 
430,騒,騷　 
431,増,增　 
432,臓,臟　 
433,蔵,藏　 
434,即,卽　 
435,属,屬　 
436,続,續　 
437,卒,卆　 
438,多,夛　 
439,堕,墮　 
440,舵,柁　 
441,楕,橢　 
442,陀,陁　 
443,駄,馱　 
444,騨,驒　 
445,体,躰　軆　體　骵　 
446,堆,垖　 
447,対,對　 
448,帯,帶　 
449,滞,滯　 
450,袋,帒　 
451,台,臺　 
452,滝,瀧　 
453,卓,桌　 
454,択,擇　 
455,沢,澤　 
456,鐸,鈬　 
457,達,逹　 
458,竪,豎　 
459,狸,貍　 
460,単,單　单　 
461,担,擔　 
462,箪,簞　 
463,耽,躭　 
464,胆,膽　 
465,鍛,煅　 
466,団,團　 
467,弾,彈　 
468,断,斷　 
469,恥,耻　 
470,痴,癡　 
471,稚,穉　稺　 
472,遅,遲　 
473,蓄,稸　 
474,昼,晝　 
475,虫,蟲　 
476,鋳,鑄　 
477,瀦,潴　 
478,猪,豬　 
479,帳,賬　 
480,庁,廳　廰　 
481,徴,徵　 
482,町,甼　 
483,聴,聽　 
484,腸,膓　 
485,長,镸　 
486,勅,敕　勑　欶　 
487,沈,沉　 
488,珍,珎　 
489,鎮,鎭　 
490,掴,摑　 
491,壷,壺　 
492,鶴,寉　靎　靍　靏　 
493,堤,埞　 
494,碇,椗　 
495,蹄,蹏　 
496,逓,遞　 
497,泥,坭　 
498,哲,喆　嚞　埑　悊　 
499,鉄,銕　鐵　鐡　 
500,填,塡　 
501,纏,纒　 
502,転,轉　 
503,顛,顚　 
504,点,點　 
