manifest,canvas,curation
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/34.json,https://kotenseki.nijl.ac.jp/biblio/200018258/canvas/1169,https://mp.ex.nii.ac.jp/api/curation/json//58605b73-e571-43a7-86f2-6b94866e8095
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/34.json,https://kotenseki.nijl.ac.jp/biblio/200018258/canvas/1168,https://mp.ex.nii.ac.jp/api/curation/json//57a05895-6961-48e5-97fc-13b13f0561cb
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/34.json,https://kotenseki.nijl.ac.jp/biblio/200018258/canvas/1168,https://mp.ex.nii.ac.jp/api/curation/json//30458695-1bce-43ee-b923-4ff7f56dd80a
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/34.json,https://kotenseki.nijl.ac.jp/biblio/200018258/canvas/1167,https://mp.ex.nii.ac.jp/api/curation/json//c8ac597b-95d4-40f6-8818-c09b86995ae3
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/34.json,https://kotenseki.nijl.ac.jp/biblio/200018258/canvas/1167,https://mp.ex.nii.ac.jp/api/curation/json//a879d95a-cf47-4223-858c-8f7672013614
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/34.json,https://kotenseki.nijl.ac.jp/biblio/200018258/canvas/1166,https://mp.ex.nii.ac.jp/api/curation/json//d2c91a3d-ff99-4c1a-a0b3-7ed5a52c6e5e
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/34.json,https://kotenseki.nijl.ac.jp/biblio/200018258/canvas/1166,https://mp.ex.nii.ac.jp/api/curation/json//1440582a-ee51-4125-a3c8-6669426edb30
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/34.json,https://kotenseki.nijl.ac.jp/biblio/200018258/canvas/1165,https://mp.ex.nii.ac.jp/api/curation/json//6264bc70-aec6-43a2-bb24-90652c850a60
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/34.json,https://kotenseki.nijl.ac.jp/biblio/200018258/canvas/1165,https://mp.ex.nii.ac.jp/api/curation/json//000c679e-be73-4f16-9b6e-416ec3655d7d
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/34.json,https://kotenseki.nijl.ac.jp/biblio/200018258/canvas/1164,https://mp.ex.nii.ac.jp/api/curation/json//a3f5d407-2a1b-411e-a713-3f07287e8246
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/34.json,https://kotenseki.nijl.ac.jp/biblio/200018258/canvas/1163,https://mp.ex.nii.ac.jp/api/curation/json//470e4266-120e-4525-8250-f0d4d9700a90
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/33.json,https://kotenseki.nijl.ac.jp/biblio/200018258/canvas/1162,https://mp.ex.nii.ac.jp/api/curation/json//5466167a-0a6a-4754-92ee-c180c040b44d
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/33.json,https://kotenseki.nijl.ac.jp/biblio/200018258/canvas/1161,https://mp.ex.nii.ac.jp/api/curation/json//3b3bc4c8-1229-4455-bac0-e1966c2aafcf
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/33.json,https://kotenseki.nijl.ac.jp/biblio/200018258/canvas/1160,https://mp.ex.nii.ac.jp/api/curation/json//19e89e41-9301-4539-aef6-5dc886094b1c
