帖,名,開始ページ,終了ページ
1,桐壺,3,37
2,帚木,38,90
3,空蝉,91,105
4,夕顔,106,162
5,若紫,163,219
6,末摘花,220,259
7,紅葉賀,260,294
8,花宴,295,311
9,葵,312,367
10,賢木,368,428
11,花散里,429,438
12,須磨,439,491
13,明石,492,542
14,澪標,543,583
15,蓬生,584,513
16,関屋,614,624
17,絵合,625,651
18,松風,652,680
19,薄雲,681,721
20,朝顔（槿）,722,749
21,少女,750,809
22,玉鬘,810,861
23,初音,862,884
24,胡蝶,885,913
25,蛍,914,942
26,常夏,943,973
27,篝火,974,982
28,野分,983,1008
29,行幸,1009,1042
30,藤袴,1043,1062
31,真木柱,1063,1106
32,梅枝,1107,1131
33,藤裏葉,1132,1162
34,若菜 上,1163,1274
35,若菜 下,1275,1388
36,柏木,1389,1436
37,横笛,1437,1460
38,鈴虫,1461,1481
39,夕霧,1482,1562
40,御法,1563,1587
41,幻,1588,1615
42,匂宮,1616,1636
43,紅梅,1637,1654
44,竹河,1655,1703
45,橋姫,1704,1750
46,椎本,1751,1797
47,総角,1798,1896
48,早蕨,1897,1920
49,宿木,1921,2023
50,東屋,2024,2095
51,浮舟,2096,2171
52,蜻蛉,2172,2234
53,手習,2235,2309
54,夢浮橋,2310,2333
55,,2334,2368
56,,2369,2407
57,,2408,2439
58,,2440,2488
59,,2489,2495
60,,2496,2508
