manifest,canvas,curation
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/54.json,https://kokusho.nijl.ac.jp/biblio/200018258/canvas/2332,https://mp.ex.nii.ac.jp/api/curation/json//3b3baaba-30f9-4142-8f50-48f1af92c681
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/54.json,https://kokusho.nijl.ac.jp/biblio/200018258/canvas/2331,https://mp.ex.nii.ac.jp/api/curation/json//66953e5a-23b9-4428-a3f5-43fb81efcfa3
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/54.json,https://kokusho.nijl.ac.jp/biblio/200018258/canvas/2331,https://mp.ex.nii.ac.jp/api/curation/json//ae40db44-0954-4a06-9c3d-4f7c187ae0cf
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/54.json,https://kokusho.nijl.ac.jp/biblio/200018258/canvas/2330,https://mp.ex.nii.ac.jp/api/curation/json//135f6a5f-f4ca-4be0-8315-641c3f509254
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/54.json,https://kokusho.nijl.ac.jp/biblio/200018258/canvas/2330,https://mp.ex.nii.ac.jp/api/curation/json//a47a13dd-28af-4faf-9702-a073bed2fb1d
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/54.json,https://kokusho.nijl.ac.jp/biblio/200018258/canvas/2329,https://mp.ex.nii.ac.jp/api/curation/json//88ce3c4b-82bd-4eed-ae4d-b7f1fd8969f8
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/54.json,https://kokusho.nijl.ac.jp/biblio/200018258/canvas/2329,https://mp.ex.nii.ac.jp/api/curation/json//f2b9bbc6-572b-4630-a1b7-17168052d51c
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/54.json,https://kokusho.nijl.ac.jp/biblio/200018258/canvas/2328,https://mp.ex.nii.ac.jp/api/curation/json//d9f9552b-1909-478f-a673-7eebb57cffe6
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/54.json,https://kokusho.nijl.ac.jp/biblio/200018258/canvas/2328,https://mp.ex.nii.ac.jp/api/curation/json//e71e8e56-9487-489f-ac62-c086342ce776
https://raw.githubusercontent.com/nakamura196/genji_curation/master/docs/iiif/nijl/54.json,https://kokusho.nijl.ac.jp/biblio/200018258/canvas/2327,https://mp.ex.nii.ac.jp/api/curation/json//8f4ba4b3-ce2f-4ac3-9c0c-6f702e74b894
