帖,名,開始ページ,終了ページ
1,桐壺,1,39
2,帚木,40,104
3,空蝉,105,123
4,夕顔,124,190
5,若紫,191,259
6,末摘花,260,306
7,紅葉賀,307,345
8,花宴,,
9,葵,,
10,賢木,346,421
11,花散里,422,432
12,須磨,433,499
13,明石,500,560
14,澪標,561,612
15,蓬生,613,649
16,関屋,650,662
17,絵合,663,693
18,松風,694,726
19,薄雲,727,773
20,朝顔（槿）,774,806
21,少女,807,881
22,玉鬘,882,942
23,初音,943,969
24,胡蝶,970,1001
25,蛍,1002,1032
26,常夏,1033,1066
27,篝火,1067,1078
28,野分,1079,1108
29,行幸,1109,1151
30,藤袴,1152,1176
31,真木柱,1177,1231
32,梅枝,1232,1262
33,藤裏葉,1263,1299
34,若菜 上,1300,1433
35,若菜 下,1434,1562
36,柏木,1563,1619
37,横笛,1620,1648
38,鈴虫,1649,1673
39,夕霧,1674,1766
40,御法,1767,1799
41,幻,1800,1834
42,匂宮,1835,1857
43,紅梅,1858,1878
44,竹河,1879,1937
45,橋姫,1938,1994
46,椎本,1995,2049
47,総角,2050,2172
48,早蕨,2173,2203
49,宿木,2204,2330
50,東屋,2331,2424
51,浮舟,2425,2521
52,蜻蛉,2522,2602
53,手習,2603,2699
54,夢浮橋,2700,2730
